# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,XYNKWOOOHR,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
4.927593466663455324e+00, -8.475022102637330690e-01, 1.744396255348550140e+00, 1.600000000000000089e+00, 2.750000000000000000e+00
4.927593466663456212e+00, 0.000000000000000000e+00, 1.864178231432082278e+00, 1.600000000000000089e+00, 3.000000000000000000e+00
4.927593466663456212e+00, 8.475022102637330690e-01, 1.744396255348550140e+00, 1.600000000000000089e+00, 3.250000000000000000e+00
4.927593466663456212e+00, 1.341625773879748795e+00, 1.395375773879748982e+00, 1.600000000000000089e+00, 3.500000000000000000e+00
4.927593466663455324e+00, 1.571677505348550108e+00, 8.329084602637328860e-01, 1.600000000000000089e+00, 3.750000000000000000e+00
4.927593466663455324e+00, 1.628178231432082512e+00, 7.400000000000006573e-02, 1.600000000000000089e+00, 4.000000000000000000e+00
5.582716404289844725e+00, 1.716059410477360547e+00, 1.980000000000000371e-01, 1.800000000000000044e+00, 0.000000000000000000e+00
5.582716404289844725e+00, 1.581452700944193435e+00, -6.434846675719410047e-01, 1.800000000000000044e+00, 2.500000000000000000e-01
5.582716404289845613e+00, 1.214035789056831849e+00, -1.250675789056831633e+00, 1.800000000000000044e+00, 5.000000000000000000e-01
5.582716404289844725e+00, 6.685146675719411125e-01, -1.618442700944193291e+00, 1.800000000000000044e+00, 7.500000000000000000e-01
5.582716404289844725e+00, -3.552713678800499463e-18, -1.742059410477360792e+00, 1.800000000000000044e+00, 1.000000000000000000e+00
5.582716404289844725e+00, -6.685146675719408904e-01, -1.618442700944193291e+00, 1.800000000000000044e+00, 1.250000000000000000e+00
5.582716404289844725e+00, -1.214035789056831627e+00, -1.250675789056831633e+00, 1.800000000000000044e+00, 1.500000000000000000e+00
5.582716404289844725e+00, -1.581452700944193435e+00, -6.434846675719410047e-01, 1.800000000000000044e+00, 1.750000000000000000e+00
5.582716404289845613e+00, -1.716059410477360547e+00, 1.980000000000000371e-01, 1.800000000000000044e+00, 2.000000000000000000e+00
5.582716404289844725e+00, -1.679942700944193401e+00, 1.039484667571940912e+00, 1.800000000000000044e+00, 2.250000000000000000e+00
5.582716404289844725e+00, -1.476675789056831833e+00, 1.646675789056831984e+00, 1.800000000000000044e+00, 2.500000000000000000e+00
5.582716404289844725e+00, -9.639846675719410118e-01, 2.014442700944193643e+00, 1.800000000000000044e+00, 2.750000000000000000e+00
5.582716404289845613e+00, 0.000000000000000000e+00, 2.138059410477360700e+00, 1.800000000000000044e+00, 3.000000000000000000e+00
